,2,3,4,5,6,7,8,9,10,11
blackJack 21,S,S,S,S,S,S,S,S,S,S
hard 5,H,H,H,H,H,H,H,H,H,H
hard 6,H,H,H,H,H,H,H,H,H,H
hard 7,H,H,H,H,H,H,H,H,H,H
hard 8,H,H,H,D,D,H,H,H,H,H
hard 9,D,D,D,D,D,D,H,H,H,H
hard 10,D,D,D,D,D,D,D,D,H,H
hard 11,D,D,D,D,D,D,D,D,D,H
hard 12,H,H,S,S,S,H,H,H,H,H
hard 13,S,S,S,S,S,H,H,H,H,H
hard 14,S,S,S,S,S,H,H,H,H,H
hard 15,S,S,S,S,S,H,H,H,H,H
hard 16,S,S,S,S,S,H,H,H,H,H
hard 17,S,S,S,S,S,S,S,S,S,S
hard 18,S,S,S,S,S,S,S,S,S,S
hard 19,S,S,S,S,S,S,S,S,S,S
soft 13,H,H,D,D,D,H,H,H,H,H
soft 14,H,H,D,D,D,H,H,H,H,H
soft 15,H,H,D,D,D,H,H,H,H,H
soft 16,H,H,D,D,D,H,H,H,H,H
soft 17,H,D,D,D,D,H,H,H,H,H
soft 18,D,D,D,D,D,D,S,H,H,S
soft 19,D,D,D,D,D,D,D,S,S,S
soft 20,D,D,D,D,D,D,D,D,S,S
2/2,H,H,H,H,H,H,H,H,H,H
3/3,H,H,H,H,H,H,H,H,H,H
4/4,H,H,H,D,D,H,H,H,H,H
5/5,D,D,D,D,D,D,D,D,H,H
6/6,H,H,S,S,S,H,H,H,H,H
7/7,S,S,S,S,S,H,H,H,H,H
8/8,S,S,S,P,P,H,H,H,H,H
9/9,S,S,P,P,P,S,S,S,S,S
10/10,S,S,S,S,S,S,S,S,S,S
A/A,P,P,P,P,P,P,P,P,P,H
